№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
1,Автобус,Остановка,10 КМ,10 КМ,Таллинское ш,"145, 145Б, 147, 165, 245, 458, 458Б, 481, 482, 482В, 484","59.773371824760758,30.1251106"
2,Автобус,Остановка,12-13 ЛИНИИ В.О,12-13 ЛИНИИ В.О,"Средний пр., 12-13-я линии","249, 6","59.941120573475885,30.2717571"
3,Автобус,Остановка,"БОЛЬШОЙ ПР. В.О., УГОЛ 16-17-Й ЛИНИЙ В.О","БОЛЬШОЙ ПР. В.О., УГОЛ 16-17-Й ЛИНИЙ В.О","Большой пр. В.О., Большой ВО Проспект","1, 128, 151, 262, 42, 7","59.935553859802589,30.2711468"
4,Автобус,Остановка,МУЗЕЙ ГОРОДСКОГО НАЗЕМНОГО ТРАНСПОРТА,МУЗЕЙ ГОРОДСКОГО НАЗЕМНОГО ТРАНСПОРТА,"Средний пр., 18-19-я линии","249, 6","59.938797516478004,30.2641411"
5,Автобус,Остановка,"1-Я И КАДЕТСКАЯ ЛИНИИ В.О., УГОЛ СРЕДНЕГО ПР. В.О","1-Я И КАДЕТСКАЯ ЛИНИИ В.О., УГОЛ СРЕДНЕГО ПР. В.О","1-я и Кадетская линии, Репина ул","24, 6","59.944538147929435,30.2870083"
6,Автобус,Остановка,1-Я КРАСНОАРМЕЙСКАЯ УЛ,1-Я КРАСНОАРМЕЙСКАЯ УЛ. [71],"ул. 1-я Красноармейская, Советский пер","290, 71","59.915965424829771,30.3104362"
7,Автобус,Остановка,"ШУШАРСКАЯ ДОРОГА, ПО ТРЕБОВАНИЮ","ШУШАРСКАЯ ДОРОГА, ПО ТРЕБОВАНИЮ",Петербургское шоссе,"187, 232, 299","59.768516359278351,30.346138"
8,Автобус,Остановка,21 КМ,21 КМ [485],,485,"59.88336543849676,30.6802368"
9,Автобус,Остановка,22-23-Я ЛИНИИ В.О,22-23-Я ЛИНИИ В.О,"Средний пр., 22-23-я линии","249, 6","59.937346806294457,30.2591171"
10,Автобус,Остановка,"25 КМ, ПО ТРЕБОВАНИЮ","25 КМ, ПО ТРЕБОВАНИЮ",A-122,"435, 497, 84, Я=555","60.123920899134639,30.2300968"
11,Автобус,Остановка,"СЕРТОЛОВО, УЛ. МОЛОДЦОВА","СЕРТОЛОВО, УЛ. МОЛОДЦОВА","Шоссейная улица, улица Молодцова","435, 497, 84, Я=555","60.14119661278383,30.2086468"
12,Автобус,Остановка,"29 КМ, ПО ТРЕБОВАНИЮ","29 КМ, ПО ТРЕБОВАНИЮ",Выборгское шоссе,"435, 497, Я=555","60.155244509739241,30.1911945"
13,Автобус,Остановка,ПОЛОЦКАЯ УЛ,ПОЛОЦКАЯ УЛ,,"179, 254, 325, 374, 375, 375А","59.733627040660018,30.4702568"
14,Автобус,Остановка,"СЕРТОЛОВО, УЛ. МИРА","СЕРТОЛОВО, УЛ. МИРА",A-122,"435, 497, Я=555","60.16484883657985,30.1836891"
15,Автобус,Остановка,"ЧЁРНАЯ РЕЧКА, ПО ТРЕБОВАНИЮ","ЧЁРНАЯ РЕЧКА, ПО ТРЕБОВАНИЮ","15-я линия, Ключевая улица","435, 497, Я=555","60.17119580359865,30.1794739"
16,Автобус,Остановка,36 КМ,36 КМ [555],A-122,Я=555,"60.189214097896397,30.0984745"
17,Автобус,Остановка,"39 КМ,1","39 КМ,1 [555]","1-я линия, 5-я линия",Я=555,"60.196408463417413,30.047699"
18,Автобус,Остановка,"39 КМ,2","39 КМ,2 [555]",Центральная улица,Я=555,"60.196537465490159,30.0389786"
19,Автобус,Остановка,"3-Й ВЕРХНИЙ ПЕР., УГ. ДОМОСТРОИТЕЛЬНОЙ УЛ","3-Й ВЕРХНИЙ ПЕР., УГ. ДОМОСТРОИТЕЛЬНОЙ УЛ. [113]","Домостроительная ул., 3-й Верхний пер",113,"60.061787493376841,30.3656101"
20,Автобус,Остановка,44 КМ,44 КМ,Мурманское шоссе,"469, 469А, 475, 475А","59.907874077684617,31.0453758"
21,Автобус,Остановка,"ПР. ЭНГЕЛЬСА, УГОЛ УЛ. МЕРКУРЬЕВА","ПР. ЭНГЕЛЬСА, УГОЛ УЛ. МЕРКУРЬЕВА",пр. Энгельса,"113, 139, 248","60.071333920433986,30.3500004"
22,Автобус,Остановка,"5 КМ, ПО ТРЕБОВАНИЮ","5 КМ, ПО ТРЕБОВАНИЮ",Колпинское шоссе,"192, 196, 254, 325, 374","59.74769725565168,30.5124779"
23,Автобус,Остановка,50 КМ,50 КМ,Мурманское ш,"469, 469А, 475, 475А","59.890174446264545,31.1625404"
24,Автобус,Остановка,51 КМ,51 КМ,Мурманское ш,"469, 469А, 475, 475А","59.888557133419141,31.1847038"
25,Автобус,Остановка,56 КМ,56 КМ,"Мурманское шоссе, Песчаная улица","469, 469А, 475, 475А","59.89045541208035,31.2615852"
26,Автобус,Остановка,57 КМ,57 КМ,Мурманское шоссе,"469, 469А, 475, 475А","59.890633584293468,31.270813"
27,Автобус,Остановка,"5-Й ПРЕДПОРТОВЫЙ ПРОЕЗД,4","5-Й ПРЕДПОРТОВЫЙ ПРОЕЗД,4",5-й Предпортовый проезд,"3, 62","59.838113697406207,30.3107719"
28,Автобус,Остановка,УЛ. КОСТЮШКО,УЛ. КОСТЮШКО,"Галстяна ул., 5-й Предпортовый проезд","13, 13А, 147, 150, 155, 252, 3, 301, 31, 39, 62, 63","59.841233052170779,30.3098869"
29,Автобус,Остановка,САД ВАЛЕНТИНА ПИКУЛЯ,"САД ВАЛЕНТИНА ПИКУЛЯ [70, 71]","Измайловский пр., 6-я Красноармейская ул",71,"59.912524360775521,30.3076916"
30,Автобус,Остановка,"КОЛПИНСКОЕ ШОССЕ, УГОЛ СОФИЙСКОЙ УЛ., ПО ТРЕБОВАНИЮ","КОЛПИНСКОЕ ШОССЕ, УГОЛ СОФИЙСКОЙ УЛ., ПО ТРЕБОВАНИЮ",Колпинское шоссе,"192, 196, 324, 330, 374, 396А","59.748967000770676,30.5383129"
31,Автобус,Остановка,"СОВЕТСКИЙ ПР., 43","СОВЕТСКИЙ ПР., 43","Советский проспект, Славянская улица","115, 115А, 189, 327, 328","59.829340876028709,30.5406284"
32,Автобус,Остановка,"БОЛЬШОЙ ПР. В.О., УГОЛ 8-9-Й ЛИНИЙ В.О","БОЛЬШОЙ ПР. В.О., УГОЛ 8-9-Й ЛИНИЙ В.О","Большой пр. В.О., Большой ВО Проспект",7,"59.938571702553816,30.2813473"
33,Автобус,Остановка,"8-9-Я ЛИНИИ В.О., УГОЛ БОЛЬШОГО ПР. В.О","8-9-Я ЛИНИИ В.О., УГОЛ БОЛЬШОГО ПР. В.О","8-9-я линии, Большой ВО Проспект","1, 100, 128, 151, 24, 42","59.939112284837016,30.2800045"
34,Автобус,Остановка,"СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ""","СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ"" [93]","Торфяная дорога, Липовая аллея","112, 216А, 93","59.989378677157887,30.2559242"
35,Автобус,Остановка,"БЕЛООСТРОВСКАЯ УЛ., Д. 10, ПО ТРЕБОВАНИЮ","БЕЛООСТРОВСКАЯ УЛ., Д. 10, ПО ТРЕБОВАНИЮ","ул. Белоостровская, ул. Земледельческая","137, 237, 33","59.986225382256507,30.3236599"
36,Автобус,Остановка,АВАНГАРДНАЯ УЛ,АВАНГАРДНАЯ УЛ,"Ветеранов пр., Авангардная ул","103, 130, 165, 229, 242, 246, 265, 284, 297, 329, 343Э, 68, 68А","59.832945014264936,30.1835117"
37,Автобус,Остановка,"АВИАГОРОДОК, УНИВЕРСИТЕТ ГРАЖДАНСКОЙ АВИАЦИИ","АВИАГОРОДОК, УНИВЕРСИТЕТ ГРАЖДАНСКОЙ АВИАЦИИ","ул. Пилотов, Вертолётная ул","13, 13А, 263","59.817224680505973,30.2937775"
38,Автобус,Остановка,"АВИАЦИОННАЯ УЛ., СТ. МЕТРО ""МОСКОВСКАЯ""","АВИАЦИОННАЯ УЛ., СТ. МЕТРО ""МОСКОВСКАЯ""","Московский проспект, Московская площадь","187, 226, 26, 263, 281, 3, 39, 50","59.853827605248384,30.3217773"
39,Автобус,Остановка,АВИАЦИОННАЯ УЛ,АВИАЦИОННАЯ УЛ,"Таллинское ш., Авиационная ул","145, 145Б, 147, 165, 245, 458, 458Б","59.75231146430189,30.1051273"
40,Автобус,Остановка,АВТОБУСНЫЙ ПАРК № 7,АВТОБУСНЫЙ ПАРК № 7,"5-й Предпортовый проезд, Кубинская ул","3, 62","59.833809949407275,30.3110142"
41,Автобус,Остановка,АВТОВОКЗАЛ,АВТОВОКЗАЛ,"Обводного канала наб., Днепропетровская ул",74,"59.913777565700748,30.3578339"
42,Автобус,Остановка,АВТОВСКАЯ УЛ,АВТОВСКАЯ УЛ,"Краснопутиловская ул., Автовская ул","244, 66, 72","59.869849521361971,30.2708015"
43,Автобус,Остановка,АГРОФИЗИЧЕСКИЙ ИНСТИТУТ,АГРОФИЗИЧЕСКИЙ ИНСТИТУТ,"Гражданский пр., Гжатская ул","295, 40, 60, 60","59.999553946758063,30.3842983"
44,Автобус,Остановка,АЛАРЧИН МОСТ,АЛАРЧИН МОСТ,"Римского-Корсакова пр., Аларчин мост","2, 22, 6, 71","59.920727542882645,30.286274"
45,Автобус,Остановка,АЛЕКСАНДРИЯ,АЛЕКСАНДРИЯ,"Санкт-Петербургский проспект, Парковая улица","103, 162, 200, 201, 210, 278, 348, 359","59.87510160324203,29.9439621"
46,Автобус,Остановка,АЛЛЕЯ ГОМОНТОВО,АЛЛЕЯ ГОМОНТОВО,Таллинское ш,487,"59.575606509965887,29.2819271"
47,Автобус,Остановка,АННИНСКОЕ ШОССЕ,АННИНСКОЕ ШОССЕ,"Таллинское ш., Аннинское ш","145, 145Б, 145Э, 147, 165, 245, 458, 458Б, 481, 482, 482В, 484, 487","59.7803649297378,30.1334229"
48,Автобус,Остановка,"АНТАШИ, ПО ТРЕБОВАНИЮ","АНТАШИ, ПО ТРЕБОВАНИЮ",Таллинское шоссе,"482, 482В, 487","59.635086980208342,29.5602665"
49,Автобус,Остановка,"АПРАКСИН ПЕР., ""ТЕАТР НА САДОВОЙ""","АПРАКСИН ПЕР., ""ТЕАТР НА САДОВОЙ""","Садовая ул., Апраксин пер","181, 49","59.929531039875137,30.3246975"
50,Автобус,Остановка,"ПР. МЕТАЛЛИСТОВ, УГОЛ АПРЕЛЬСКОЙ УЛ","ПР. МЕТАЛЛИСТОВ, УГОЛ АПРЕЛЬСКОЙ УЛ","Металлистов пр., Апрельская ул","132, 222, 28","59.964896030955707,30.4183674"
51,Автобус,Остановка,АРСЕНАЛЬНАЯ УЛ,АРСЕНАЛЬНАЯ УЛ,"Комсомола ул., Арсенальная ул","106, 107, 133, 176, 234, 28, 37","59.955537677137769,30.3709393"
52,Автобус,Остановка,Б. КОНЮШЕННАЯ УЛ,"Б. КОНЮШЕННАЯ УЛ. [3, 27, 22, 24, 7]","Невский проспект, Большая Конюшенная улица","191, 22, 24, 27, 3, 7","59.936063696053047,30.3215523"
53,Автобус,Остановка,БОЛЬШОЙ СМОЛЕНСКИЙ ПР,БОЛЬШОЙ СМОЛЕНСКИЙ ПР,"Бабушкина ул., Бол. Смоленский пр","114, 116, 264, 31, 58","59.898893558411807,30.419426"
54,Автобус,Остановка,БАЙКОНУРСКАЯ УЛ,БАЙКОНУРСКАЯ УЛ,"Парашютная улица, Байконурская улица","134А, 135, 171, 172, 208, 235, 267, 85, 9","60.017171381185555,30.2805996"
55,Автобус,Остановка,БАЛТИЙСКИЙ ВОКЗАЛ,БАЛТИЙСКИЙ ВОКЗАЛ,"пл. Балтийского вокзала, Митрофаньевское шоссе","205, 286, 43, 67","59.907939145048559,30.2999859"
56,Автобус,Остановка,БАССЕЙНАЯ УЛ,БАССЕЙНАЯ УЛ,"Бассейная улица, проспект Космонавтов","286, 63, 72","59.864678907272697,30.3466949"
57,Автобус,Остановка,"БЕГУНИЦЫ,1","БЕГУНИЦЫ,1",Таллинское ш,"487, 842","59.586994458587675,29.3239975"
58,Автобус,Остановка,"БЕГУНИЦЫ,2","БЕГУНИЦЫ,2",Таллинское ш,487,"59.584010379580363,29.3085499"
59,Автобус,Остановка,БЕЗЫМЯННАЯ УЛ,БЕЗЫМЯННАЯ УЛ,Таллиннское ш,"108, 145, 145Б, 145Э, 165, 195, 20, 245, 345, 481, 482, 482В, 484, 487, 81","59.818999983790818,30.1792831"
60,Автобус,Остановка,БЕЛГРАДСКАЯ УЛ,БЕЛГРАДСКАЯ УЛ,Славы пр,"11, 114, 116, 141, 225, 239, 246, 31, 59","59.854667987366589,30.3710442"
61,Автобус,Остановка,"БЕЛГРАДСКАЯ УЛ., 6","БЕЛГРАДСКАЯ УЛ., 6","Белградская ул., Витебский пр","12, 159, 95","59.872156837049452,30.35709"
62,Автобус,Остановка,БЕЛГРАДСКАЯ УЛ. УГ. УЛ. ТУРКУ,БЕЛГРАДСКАЯ УЛ. УГ. УЛ. ТУРКУ,"Белградская ул., Турку ул","12, 159, 95","59.86738089343261,30.3594646"
63,Автобус,Остановка,БЕЛООСТРОВСКАЯ УЛ,"БЕЛООСТРОВСКАЯ УЛ. [1, 33, 46А, 137]","Белоостровская ул., Торжковская ул","137, 237, 25, 267, 33, 46","59.988145409075152,30.3106289"
64,Автобус,Остановка,БЕЛОРУССКАЯ УЛ. ПО ХАСАНСКОЙ УЛ,БЕЛОРУССКАЯ УЛ. ПО ХАСАНСКОЙ УЛ,"Хасанская, Белорусская","15, 153, 169, 174, 24","59.935434098472797,30.4986706"
65,Автобус,Остановка,БЕСТУЖЕВСКАЯ УЛ. 32,БЕСТУЖЕВСКАЯ УЛ. 32,"Бестужевская улица, Замшина улица","106, 123, 136, 137, 264, 271","59.982121891079771,30.4130497"
66,Автобус,Остановка,БЕСТУЖЕВСКАЯ УЛ. УГ. ЗАМШИНОЙ УЛ,БЕСТУЖЕВСКАЯ УЛ. УГ. ЗАМШИНОЙ УЛ,"Бестужевская ул., Замшина ул","136, 137, 271","59.983061536379545,30.4085693"
67,Автобус,Остановка,БИОЛОГИЧЕСКИЙ ИНСТИТУТ,БИОЛОГИЧЕСКИЙ ИНСТИТУТ,Ораниенбаумское шоссе,"200, 348, 349","59.895992009733504,29.8439007"
68,Автобус,Остановка,"БКЗ ""ОКТЯБРЬСКИЙ""","БКЗ ""ОКТЯБРЬСКИЙ""","Лиговский пр., Ковенский пер","74, 76","59.936895157151163,30.3646107"
69,Автобус,Остановка,БОБЫЛЬСКАЯ ДОРОГА,БОБЫЛЬСКАЯ ДОРОГА,"улица Халтурина, Бобыльская дорога","349, 351А, 351Б, 353","59.882803384584712,29.8545418"
70,Автобус,Остановка,"БОГАТЫРСКИЙ ПР., УГ. КОЛОМЯЖСКОГО ПР","БОГАТЫРСКИЙ ПР., УГ. КОЛОМЯЖСКОГО ПР. [93, 172]","Богатырский пр., Коломяжский пр","122, 170, 172, 184, 235, 93","60.000619453591497,30.2967319"
71,Автобус,Остановка,"КОНСТАНТИНОВСКАЯ УЛ., НИКОЛАЕВСКАЯ БОЛЬНИЦА","КОНСТАНТИНОВСКАЯ УЛ., НИКОЛАЕВСКАЯ БОЛЬНИЦА","Санкт-Петербургский проспект, площадь Жертв Революции","103, 200, 204Э, 210, 343Э, 348, 350, 351А, 351Б, 356, 463, 463А, 489","59.878584249643275,29.9199829"
72,Автобус,Остановка,Б. МОНЕТНАЯ УЛ,Б. МОНЕТНАЯ УЛ. [46А],"Каменноостровский проспект, Большая Монетная улица","46, 76","59.961566031887656,30.3158398"
73,Автобус,Остановка,БОЛЬШАЯ ПОРОХОВСКАЯ УЛ,БОЛЬШАЯ ПОРОХОВСКАЯ УЛ. [123],"Энергетиков пр., Дегтярева ул","123, 131, 137, 185, 271","59.952182797191455,30.4366322"
74,Автобус,Остановка,"ПР. МЕТАЛЛИСТОВ, УГОЛ БОЛЬШОЙ ПОРОХОВСКОЙ УЛ","ПР. МЕТАЛЛИСТОВ, УГОЛ БОЛЬШОЙ ПОРОХОВСКОЙ УЛ","Металлистов пр., Большая Пороховская ул","132, 222","59.952825756657141,30.4216728"
75,Автобус,Остановка,"БОЛЬШЕОХТИНСКОЕ КЛАДБИЩЕ, ПО ТРЕБОВАНИЮ","БОЛЬШЕОХТИНСКОЕ КЛАДБИЩЕ, ПО ТРЕБОВАНИЮ","Большая Пороховская ул., Салтыковская дор","15, 28, 290","59.95310961245233,30.4406681"
76,Автобус,Остановка,БОЛЬШОЙ ПР. П.С,БОЛЬШОЙ ПР. П.С,"Ленина ул., Большой пр. П.С","1, 14, 185","59.961907936327819,30.3048744"
77,Автобус,Остановка,"БОЛЬШОЙ САМПСОНИЕВСКИЙ ПР.,70","БОЛЬШОЙ САМПСОНИЕВСКИЙ ПР.,70 [86]","Большой Сампсониевский пр., Александра Матросова ул",86,"59.980963527985921,30.3365345"
78,Автобус,Остановка,БОЛЬШОЙ СМОЛЕНСКИЙ ПР,БОЛЬШОЙ СМОЛЕНСКИЙ ПР. [8],"Седова ул., Бол. Смоленский пр","253, 31, 58, 8","59.896649761991576,30.4094505"
79,Автобус,Остановка,БОРОВАЯ УЛ,БОРОВАЯ УЛ,"Таллинское ш., Боровая ул","145, 145Б, 145Э, 147, 165, 245, 458, 458Б, 481, 482, 482В, 484","59.743997858661359,30.0974369"
80,Автобус,Остановка,"БОТАНИЧЕСКАЯ УЛ., 17","БОТАНИЧЕСКАЯ УЛ., 17","Ботаническая ул., Солнечная ул","204Э, 210, 357, 358, 359","59.875273001856499,29.8372097"
81,Автобус,Остановка,БРЕСТСКИЙ БУЛЬВАР,БРЕСТСКИЙ БУЛЬВАР,"Рихарда Зорге ул., Брестский бул","111, 142, 87","59.850390392975534,30.1931286"
82,Автобус,Остановка,БУДАПЕШТСКАЯ УЛ,БУДАПЕШТСКАЯ УЛ,"ул. Олеко Дундича, ул. Будапештская","56, 96","59.829824882977029,30.4064693"
83,Автобус,Остановка,"ПР. СЛАВЫ, УГОЛ БУДАПЕШТСКОЙ УЛ","ПР. СЛАВЫ, УГОЛ БУДАПЕШТСКОЙ УЛ","Славы пр., Будапештская ул","11, 114, 116, 141, 239, 282, 288","59.856211491065814,30.3807983"
84,Автобус,Остановка,БУДАПЕШТСКАЯ УЛ,БУДАПЕШТСКАЯ УЛ,"Турку ул., Будапештская ул","12, 159, 95","59.867603763201387,30.3700104"
85,Автобус,Остановка,"БУДАПЕШТСКАЯ УЛ., 19","БУДАПЕШТСКАЯ УЛ., 19",Будапештская ул,"159, 31, 59, 74","59.864589751704138,30.3732605"
86,Автобус,Остановка,"БУДАПЕШТСКАЯ УЛ., 33","БУДАПЕШТСКАЯ УЛ., 33",Будапештская ул,"159, 31, 59, 74","59.860159104747574,30.3766308"
87,Автобус,Остановка,АЛЬПИЙСКИЙ ПЕР,АЛЬПИЙСКИЙ ПЕР,"Будапештская ул., Альпийский пер","159, 225, 246, 282, 288, 74","59.852462367826611,30.3831005"
88,Автобус,Остановка,БУДАПЕШТСКАЯ УЛ. 5,БУДАПЕШТСКАЯ УЛ. 5,Будапештская ул,"59, 74","59.872564800431988,30.3671913"
89,Автобус,Остановка,"БУДАПЕШТСКАЯ УЛ., УГОЛ МАЛОЙ БАЛКАНСКОЙ УЛ","БУДАПЕШТСКАЯ УЛ., УГОЛ МАЛОЙ БАЛКАНСКОЙ УЛ","ул. Будапештская, ул. Малая Балканская","157, 159, 225, 326, 50, 54, 56, 74","59.826333696546897,30.4093609"
90,Автобус,Остановка,"БУДАПЕШТСКАЯ УЛ., УГОЛ ПР. СЛАВЫ","БУДАПЕШТСКАЯ УЛ., УГОЛ ПР. СЛАВЫ","Будапештская ул., Славы пр","159, 31, 59, 74","59.856866600990884,30.3791409"
91,Автобус,Остановка,БУДАПЕШТСКАЯ УЛ. УГ. УЛ. ДИМИТРОВА,БУДАПЕШТСКАЯ УЛ. УГ. УЛ. ДИМИТРОВА,"Будапештская улица, улица Димитрова","159, 225, 246, 282, 288, 74","59.848822604417045,30.3865623"
92,Автобус,Остановка,"БУДАПЕШТСКАЯ УЛ., 104","БУДАПЕШТСКАЯ УЛ., 104","ул. Будапештская, Шипкинский пер","225, 54, 56","59.83190157054635,30.4036694"
93,Автобус,Остановка,"БУЛЬВАР КРАСНЫХ КУРСАНТОВ,49","БУЛЬВАР КРАСНЫХ КУРСАНТОВ,49",ул. Красных курсантов,"349, 351Б","59.882069958479086,29.8671513"
94,Автобус,Остановка,"УЛ. БАБУШКИНА, УГОЛ БУЛЬВАРА КРАСНЫХ ЗОРЬ","УЛ. БАБУШКИНА, УГОЛ БУЛЬВАРА КРАСНЫХ ЗОРЬ","Бабушкина ул., Красных Зорь бул",11,"59.872485950756698,30.4472923"
95,Автобус,Остановка,БУЛЬВАР НОВАТОРОВ,БУЛЬВАР НОВАТОРОВ [114],"Подводника Кузьмина ул., Новаторов бул",114,"59.844643761257437,30.2636223"
96,Автобус,Остановка,БУЛЬВАР ТРУДЯЩИХСЯ,БУЛЬВАР ТРУДЯЩИХСЯ,"ул. Веры Слуцкой, бул. Трудящихся","196, 326, 327, 330, 337, 337А, 374, 386, 390, 396А, 475, 475А, 540","59.735651203393012,30.5793285"
97,Автобус,Остановка,"СТ. МЕТРО ""ПРОСПЕКТ СЛАВЫ""","СТ. МЕТРО ""ПРОСПЕКТ СЛАВЫ""","Славы пр., Бухарестская ул","11, 114, 116, 141, 239, 288, 56, 57","59.859195395190667,30.3937035"
98,Автобус,Остановка,"СТ. МЕТРО ""МЕЖДУНАРОДНАЯ""","СТ. МЕТРО ""МЕЖДУНАРОДНАЯ""","Белы Куна ул., Бухарестская ул","12, 31, 91, 95","59.871464316318239,30.3809547"
99,Автобус,Остановка,"БУХАРЕСТСКАЯ УЛ., 118","БУХАРЕСТСКАЯ УЛ., 118",ул. Бухарестская,"241, 56, 57","59.84689106970734,30.4052525"
100,Автобус,Остановка,"СТ. МЕТРО ""МЕЖДУНАРОДНАЯ""","СТ. МЕТРО ""МЕЖДУНАРОДНАЯ""","ул. Бухарестская, ул. Белы Куна","54, 91","59.871882573138286,30.3798046"
101,Автобус,Остановка,БУХАРЕСТСКАЯ УЛ. УГ. УЛ. О. ДУНДИЧА,БУХАРЕСТСКАЯ УЛ. УГ. УЛ. О. ДУНДИЧА [56],"ул. Бухарестская, ул. Олеко Дундича","56, 57","59.833590285467508,30.4187355"
102,Автобус,Остановка,"БУХАРЕСТСКАЯ УЛ., 72","БУХАРЕСТСКАЯ УЛ., 72",Бухарестская ул,"54, 91","59.874535981544874,30.3763103"
103,Автобус,Остановка,ВАГОНОРЕМОНТНЫЙ ЗАВОД,"ВАГОНОРЕМОНТНЫЙ ЗАВОД [8, 31, 95, 114, 116]","Седова ул., Дудко ул","114, 116, 31, 8, 95","59.886209833860512,30.4233437"
104,Автобус,Остановка,ВАРШАВСКАЯ УЛ,ВАРШАВСКАЯ УЛ,"Бассейная ул., Варшавская ул","286, 36, 63, 72","59.86471319781235,30.3131714"
105,Автобус,Остановка,ВЕРБНАЯ УЛ. УГ. УЛ. РЕПИЩЕВА,ВЕРБНАЯ УЛ. УГ. УЛ. РЕПИЩЕВА,"Вербная ул., Репищева ул","127, 219, 40","60.0235434392362,30.280592"
106,Автобус,Остановка,ВЕСЕЛЬНАЯ УЛ,ВЕСЕЛЬНАЯ УЛ. [7],"Большой пр. В.О., Весельная ул","1, 128, 7","59.928254472249691,30.246212"
107,Автобус,Остановка,"ВИТЕБСКИЙ ПР.,109, ПО ТРЕБОВАНИЮ","ВИТЕБСКИЙ ПР.,109, ПО ТРЕБОВАНИЮ",Витебский пр,"186, 190, 196, 197, 342, 388","59.820922836155269,30.3794518"
108,Автобус,Остановка,"ВИТЕБСКИЙ ПР.,31","ВИТЕБСКИЙ ПР.,31","Витебский пр., Белградская ул",72,"59.861403997831502,30.3579369"
109,Автобус,Остановка,"ВИТЕБСКИЙ ПР.,63","ВИТЕБСКИЙ ПР.,63","Витебский пр., Орджоникидзе ул","116, 72","59.845412323509137,30.3661442"
110,Автобус,Остановка,"ВИТЕБСКИЙ ПР.,75","ВИТЕБСКИЙ ПР.,75","Витебский пр., Орджоникидзе ул","63, 72","59.842132085865352,30.3677864"
111,Автобус,Остановка,"ВИТИНО,1, ПО ТРЕБОВАНИЮ","ВИТИНО,1, ПО ТРЕБОВАНИЮ","Таллинское шоссе, Нарвское шоссе","482, 482В","59.65563460215045,29.7277164"
112,Автобус,Остановка,"ВИТИНО,2, ПО ТРЕБОВАНИЮ","ВИТИНО,2, ПО ТРЕБОВАНИЮ",Таллинское шоссе,"482, 482В, 487","59.654337157191996,29.7141171"
113,Автобус,Остановка,ВОЗНЕСЕНСКИЙ ПР,ВОЗНЕСЕНСКИЙ ПР,"Садовая ул., переулок Бойцова","181, 262, 49, 50, 70","59.923657737453702,30.3107243"
114,Автобус,Остановка,ВОКЗАЛ,ВОКЗАЛ,"Железнодорожная улица, Ленинградская улица","187, 188, 273, 370, 371, 373, 377, 378, 380, 382, 383, 384, 545","59.723263335814806,30.4288826"
115,Автобус,Остановка,ПРИВОКЗАЛЬНАЯ ПЛ,ПРИВОКЗАЛЬНАЯ ПЛ,"ул. Октябрьская, Банковский переулок","192, 325, 326, 328, 330, 364, 366, 367, 369, 386, 390, 392, 544","59.749314537772356,30.6128502"
116,Автобус,Остановка,"ВОЛХОНСКОЕ ШОССЕ,4","ВОЛХОНСКОЕ ШОССЕ,4",Волхонское шоссе,"108, 147, 195","59.7874596802409,30.1886234"
117,Автобус,Остановка,"ВОЛХОНСКОЕ ШОССЕ,7","ВОЛХОНСКОЕ ШОССЕ,7",Волхонское шоссе,"108, 147, 195","59.7811315379682,30.2064838"
118,Автобус,Остановка,ВЫСОКОВОЛЬТНАЯ ЛИНИЯ,ВЫСОКОВОЛЬТНАЯ ЛИНИЯ [476],,476,"59.840330562631948,30.5396309"
119,Автобус,Остановка,ГАККЕЛЕВСКАЯ УЛ,ГАККЕЛЕВСКАЯ УЛ,"Оптиков ул., Мебельная ул","101, 166, 279","59.995633132549948,30.251297"
120,Автобус,Остановка,"ГАККЕЛЕВСКАЯ УЛ., УГОЛ БОГАТЫРСКОГО ПР","ГАККЕЛЕВСКАЯ УЛ., УГОЛ БОГАТЫРСКОГО ПР","Гаккелевская ул., Богатырский пр","112, 126, 154, 172, 223, 235, 258","60.001698585786144,30.2561302"
121,Автобус,Остановка,ГЕЛЬСИНГФОРССКАЯ УЛ,ГЕЛЬСИНГФОРССКАЯ УЛ. [86],"Большой Сампсониевский пр., Гельсингфорсская ул",86,"59.974190222149105,30.3395405"
122,Автобус,Остановка,"ПР. АВИАКОНСТРУКТОРОВ, УГОЛ ГЛУХАРСКОЙ УЛ","ПР. АВИАКОНСТРУКТОРОВ, УГОЛ ГЛУХАРСКОЙ УЛ","Авиаконструкторов пр., Глухарская ул","170, 171, 182, 258, 79, 85","60.029225036486437,30.2176514"
123,Автобус,Остановка,"ГЛУХОВО, ЛЕСХОЗ, ПО ТРЕБОВАНИЮ","ГЛУХОВО, ЛЕСХОЗ, ПО ТРЕБОВАНИЮ",Нарвское шоссе,"482, 482В, 487","59.664518681038999,29.7763329"
124,Автобус,Остановка,ГОМОНТОВО,ГОМОНТОВО,Таллинское ш,487,"59.572860099159762,29.2671223"
125,Автобус,Остановка,"ГОСТИЛИЦКОЕ ШОССЕ, УГОЛ ЧИЧЕРИНСКОЙ УЛ","ГОСТИЛИЦКОЕ ШОССЕ, УГОЛ ЧИЧЕРИНСКОЙ УЛ","Чичеринская улица, Гостилицкое шоссе","204Э, 352, 356, 357, 463, 463А, 489","59.870175229417988,29.8496113"
